PG mapping,wi,si,sm,sf,wf,consistency,wi_consistency,si_consistency,sm_consistency,sf_consistency,wf_consistency
b-br,0,0,0,0,0,0,0,0,0,0,0
b-pb,0,2,0,0,0,0.0028169014084507044,0,0.014084507042253521,0,0,0
d-d,158,134,16,50,215,0.9567545829431927,1,0.864516129032258,1,0.9803921568627451,0.9388646288209607
d-dd,0,21,0,1,2,0.03276506771182906,0,0.13548387096774195,0,0.0196078431372549,0.008733624454148471
d-ddh,0,0,0,0,0,0,0,0,0,0,0
d-ed,0,0,0,0,10,0.008733624454148471,0,0,0,0,0.043668122270742356
d-ld,0,0,0,0,2,0.0017467248908296941,0,0,0,0,0.008733624454148471
dʒ-d,0,0,0,0,0,0,0,0,0,0,0
dʒ-dg,0,0,0,0,6,0.04444444444444444,0,0,0,0,0.2222222222222222
dʒ-di,0,1,0,0,0,0.007692307692307693,0,0.038461538461538464,0,0,0
dʒ-dj,0,0,0,0,0,0,0,0,0,0,0
dʒ-g,10,22,0,1,21,0.5702408702408702,0.22727272727272727,0.8461538461538461,0,1,0.7777777777777778
dʒ-gg,0,0,0,0,0,0,0,0,0,0,0
dʒ-gi,0,0,0,0,0,0,0,0,0,0,0
dʒ-j,34,3,0,0,0,0.17762237762237762,0.7727272727272727,0.11538461538461539,0,0,0
eɪ-a,8,4,6,60,0,0.35447297150904555,0.5333333333333333,0.5,0.03314917127071823,0.7058823529411765,0
eɪ-a_e,4,4,116,0,0,0.28151012891344385,0.26666666666666666,0.5,0.6408839779005525,0,0
eɪ-ae,0,0,0,0,1,0.0044444444444444444,0,0,0,0,0.022222222222222223
eɪ-ai,1,0,48,10,0,0.08990141913118839,0.06666666666666667,0,0.26519337016574585,0.11764705882352941,0
eɪ-ai_e,0,0,2,0,0,0.002209944751381215,0,0,0.011049723756906077,0,0
eɪ-aigh,0,0,1,0,0,0.0011049723756906076,0,0,0.0055248618784530384,0,0
eɪ-au_e,0,0,0,0,0,0,0,0,0,0,0
eɪ-ay,0,0,2,13,36,0.19279818004549887,0,0,0.011049723756906077,0.15294117647058825,0.8
eɪ-ay_e,0,0,0,0,0,0,0,0,0,0,0
eɪ-aye,0,0,0,0,0,0,0,0,0,0,0
eɪ-e,0,0,0,0,0,0,0,0,0,0,0
eɪ-e_e,0,0,0,0,0,0,0,0,0,0,0
eɪ-ea,0,0,3,0,1,0.0077593615715162685,0,0,0.016574585635359115,0,0.022222222222222223
eɪ-ee,0,0,0,0,0,0,0,0,0,0,0
eɪ-ei,0,0,1,0,0,0.0011049723756906076,0,0,0.0055248618784530384,0,0
eɪ-ei_e,0,0,0,0,0,0,0,0,0,0,0
eɪ-eigh,2,0,2,2,2,0.042471382659877946,0.13333333333333333,0,0.011049723756906077,0.023529411764705882,0.044444444444444446
eɪ-et,0,0,0,0,1,0.0044444444444444444,0,0,0,0,0.022222222222222223
eɪ-ey,0,0,0,0,4,0.017777777777777778,0,0,0,0,0.08888888888888889
eɪ-ez,0,0,0,0,0,0,0,0,0,0,0
f-f,194,69,11,8,30,0.8111237244201759,0.9847715736040609,0.7419354838709677,0.9166666666666666,0.8,0.6122448979591837
f-ff,0,14,1,1,10,0.10759052007899934,0,0.15053763440860216,0.08333333333333333,0.1,0.20408163265306123
f-ft,0,1,0,0,0,0.002150537634408602,0,0.010752688172043012,0,0,0
f-gh,0,1,0,1,5,0.04255870089971473,0,0.010752688172043012,0,0.1,0.10204081632653061
f-lf,0,0,0,0,2,0.008163265306122448,0,0,0,0,0.04081632653061224
f-ph,3,8,0,0,2,0.028413251660579085,0.015228426395939087,0.08602150537634409,0,0,0.04081632653061224
f-pph,0,0,0,0,0,0,0,0,0,0,0
g-g,109,82,1,6,33,0.9510380010411243,0.9646017699115044,0.82,1,1,0.9705882352941176
g-gg,0,16,0,0,1,0.03788235294117647,0,0.16,0,0,0.029411764705882353
g-gh,1,1,0,0,0,0.003769911504424779,0.008849557522123894,0.01,0,0,0
g-gu,3,1,0,0,0,0.007309734513274336,0.02654867256637168,0.01,0,0,0
gz-x,0,0,0,1,0,0.2,0,0,0,1,0
h-h,160,30,0,0,0,0.39753086419753086,0.9876543209876543,1,0,0,0
h-j,0,0,0,0,0,0,0,0,0,0,0
h-wh,2,0,0,0,0,0.0024691358024691358,0.012345679012345678,0,0,0,0
i-a,0,0,0,0,0,0,0,0,0,0,0
i-ae,0,0,0,0,0,0,0,0,0,0,0
i-ay,0,0,0,0,0,0,0,0,0,0,0
i-e,7,0,0,30,8,0.11099698048096625,0.3181818181818182,0,0,0.20833333333333334,0.028469750889679714
i-e_e,2,0,2,0,0,0.020796197266785502,0.09090909090909091,0,0.013071895424836602,0,0
i-ea,11,0,58,41,4,0.2356084129974647,0.5,0,0.3790849673202614,0.2847222222222222,0.014234875444839857
i-ea_e,0,0,5,0,0,0.006535947712418301,0,0,0.032679738562091505,0,0
i-ee,1,0,54,25,14,0.12436577941863687,0.045454545454545456,0,0.35294117647058826,0.1736111111111111,0.0498220640569395
i-ee_e,0,0,9,0,0,0.011764705882352941,0,0,0.058823529411764705,0,0
i-ei,1,0,0,1,0,0.010479797979797981,0.045454545454545456,0,0,0.006944444444444444,0
i-ei_e,0,0,0,0,0,0,0,0,0,0,0
i-eo,0,0,0,1,0,0.0013888888888888887,0,0,0,0.006944444444444444,0
